,0
AXIN2,982
MARCO,1334
SOX9,1392
GPR183,419
MAP2K4,402
AXL,268
PTK2,2789
RSPO1,978
DERL3,210
NCAM1,343
TAP2,3079
XCR1,214
ARAF,552
Blank-62,86
S1PR2,970
LYZ,5599
LAMP3,5741
TNF,282
SDHD,187
MLST8,1418
ITCH,417
NRAS,360
CD22,284
MSH6,1437
DNMT3A,164
IFNGR2,1316
FAT1,1278
STAT5A,1615
DIABLO,555
E2F1,433
TBL1XR1,23
FOXM1,463
HIKESHI,222
LGR5,138
RFNG,900
ATR,917
AKT3,2045
PAX3,338
STING1,673
INPP4B,120
HMGA1,2400
LMNA,6116
IDH1,417
ZEB1,1466
MMRN1,301
TLR2,204
PROX1,211
AGO2,818
RGMB,2013
NF2,1276
TGFBR1,849
ATRX,796
DDX6,1759
NTRK1,171
TEAD1,2222
CXCL8,2415
LRP6,198
ITGAX,494
CEACAM8,48
EIF4EBP1,450
RPL22,206
MS4A1,204
SPHK1,705
TNFSF4,174
BAD,430
MAPK1,875
FZD7,335
CCL4,609
ELANE,207
IL23A,53
FBXW7,480
NPRL2,275
NEDD4,632
NLRP3,1385
SELPLG,481
SPP1,143
FOSL1,144
FRAT2,373
Blank-78,73
PTGDR2,150
Blank-29,123
PPP1CA,1748
FCGR3A,2027
XPO1,895
CDH2,412
CD40LG,137
EML4,1330
CXCL13,24
Blank-8,610
MRC1,5042
CCL28,152
MTOR,51
DKK2,125
OSMR,969
Blank-63,333
ICOSLG,524
Blank-43,15
TFDP1,287
Blank-2,540
IL7,2208
WNT7A,602
CXCR6,165
CXCL9,307
ETV5,2169
CCR7,194
IRF4,1064
RNF43,1006
TRIM33,877
PGF,84
PMS2,171
RORC,628
TBK1,226
Blank-31,28
ERCC1,157
FAS,154
CD163,366
CD2,802
IL2RA,71
Blank-38,55
SMAD2,1103
MYBL2,896
AJUBA,423
LAMB3,916
LFNG,720
PPARGC1A,194
EP400,2261
CD86,213
SEMA4D,1613
MZB1,400
CD274,308
NUMBL,209
CCL11,123
NFATC2,1039
Blank-5,349
ESCO2,56
FCGR2A,2476
MAF,1099
MMP2,274
RPS6KB1,145
IL5RA,232
PCNA,414
PTEN,241
SNAI2,549
SLAMF7,981
TSC1,452
KRAS,349
Blank-42,85
FLT1,156
IFNAR2,330
CCR10,70
FANCF,679
SRSF3,547
EPCAM,592
ZAP70,588
ZBED2,196
FASLG,118
FFAR2,95
KSR1,503
SNAI1,418
NLRC5,105
PSENEN,734
Blank-12,111
MUC4,524
LUM,549
RICTOR,507
BRCA1,189
RELT,443
HDAC2,344
SUZ12,629
TGFBI,584
EGF,164
SET,400
CCR1,515
RHEB,70
NFATC1,226
CXCR2,46
CD3G,30
CLCA1,18
Blank-48,46
MDM4,1132
CXCL12,325
Blank-34,49
EPHA4,190
STAT4,813
DCC,222
MYCL,316
MYCN,73
NF1,929
FGFR2,229
Blank-19,37
MFAP2,259
PROK2,74
TEK,237
PDK1,303
ZNRF3,1546
TIGIT,201
CDKN2A,60
AURKA,228
Blank-51,18
TGM2,166
TNFRSF4,437
MSR1,277
IDO1,431
PTGS2,844
Blank-83,62
WIF1,226
RBPJ,254
GZMK,133
ITGA4,283
PLK1,515
Blank-35,22
Blank-76,14
KEAP1,356
LOX,315
Blank-74,111
RRAS2,124
CCL5,865
RPS6KA3,674
CD19,78
Blank-1,644
IKBKB,474
CCL26,40
LGR6,309
POU2AF1,614
Blank-59,118
NGFR,181
Blank-64,202
CA9,68
RORA,439
IL12RB2,45
Blank-10,266
GZMA,443
MUC2,104
Blank-15,52
CETN3,106
WNT3,855
SOX10,96
TNFRSF17,134
CCL17,250
BUB1,42
CCL8,69
CD8B,37
BIRC3,305
SIGLEC1,133
PAK1,682
Blank-4,75
HAVCR2,222
KIT,732
DNMT1,216
IL13,28
MDM2,120
CD209,306
TOX,1019
KLRK1,495
FCRL5,127
VCAN,230
KLRB1,28
PDGFC,31
CCR8,79
Blank-49,14
UBE2D1,28
Blank-14,86
IL17A,42
CCR2,360
ARG1,102
WNT5B,394
MKI67,304
HNF1A,100
UBE2A,394
WNT11,47
PDCD1,187
ESR1,312
CDK8,160
CCR3,25
CD69,513
DNMT3B,118
TGFB2,163
IFITM1,275
EOMES,179
CD27,420
CDKN2B,32
CHEK2,228
BIRC5,80
CXCL11,75
HLA-DQA1,648
Blank-80,32
STAP1,165
SEMA4A,1418
Blank-11,291
BLK,120
PPP2R1A,70
RBPJL,33
IL2,72
Blank-44,111
DNER,258
CD177,64
MFAP5,39
ICAM3,996
SRPRB,206
TERT,210
FZD3,226
TWIST1,10
PGLYRP1,37
CTLA4,159
WWC1,1392
TP63,445
GFAP,33
Blank-26,182
Blank-81,84
SDR9C7,133
Blank-61,20
ASCL2,112
MCM2,617
KLRF1,56
STK11,561
Blank-24,236
IL4I1,132
MMP12,49
CHEK1,37
KIR3DL2,31
GNLY,274
IFNG,72
LEF1,36
CSF3,384
TRBC1,228
IDH2,233
FLI1,120
NCR1,253
FOXP3,169
BCLAF1,349
TBX21,240
FCER2,79
ETV4,207
IGF1,62
CD8A,554
BTLA,145
WRN,226
MXD3,62
MLANA,23
BCL10,180
RAD50,160
Blank-72,58
CCL2,158
PAK3,108
CXCL1,186
FAP,54
TRAC,953
ATM,49
SFRP1,79
LATS1,119
IL2RB,1456
ITK,603
Blank-60,31
PORCN,154
IL5,38
CDCA7,106
FGFBP2,75
DEPTOR,579
PAX5,97
COL11A1,23
Blank-9,280
CD1E,91
VTN,82
Blank-30,66
PRTN3,61
CCR6,40
CD226,55
CXCR3,124
Blank-79,36
Blank-69,41
KLRG1,136
SMARCA4,204
CD3D,103
CD244,85
IRF5,41
Blank-7,463
Blank-84,29
Blank-23,68
TNFRSF9,44
IL21R,132
Blank-36,18
Blank-41,9
AURKB,48
MOB1A,179
SOX2,863
Blank-40,57
NCR3,48
Blank-6,37
ROS1,39
IL1A,29
CSF2RA,184
CD1C,96
PTPN2,123
Blank-22,58
CD3E,518
CXCL10,125
Blank-18,71
KSR2,214
PDPN,177
MYB,1130
MTRR,101
LAG3,280
CX3CR1,194
IDO2,81
CD38,207
CCR4,291
CLEC4C,114
CXCL5,58
TLR1,245
DEPDC5,79
AR,67
CD1B,172
ALK,104
TNFSF9,196
Blank-28,95
Blank-20,34
CXCL2,350
GLI1,111
MMP3,102
Blank-71,20
Blank-68,90
KIR2DL4,38
IL18RAP,51
WT1,27
PLOD2,181
SAV1,123
TBX10,19
COL6A3,90
ICOS,40
TNC,67
Blank-50,31
IL4,50
Blank-16,21
ESR2,129
XRCC2,55
TRAT1,90
Blank-47,39
IL1B,314
TSC2,23
TNFRSF13B,107
GZMB,116
EZH2,152
Blank-53,70
IFNB1,24
IL22,39
WNT1,39
CD207,63
TNFRSF18,108
CD80,48
CNTN1,84
FAT2,120
BCL11A,51
NPRL3,59
SOX3,87
Blank-58,37
PKIB,50
Blank-39,18
FGF2,90
SLC26A3,51
PGR,65
RET,17
MMP7,99
Blank-70,49
CXCR5,137
CDX2,54
GATA1,70
Blank-54,16
Blank-57,72
CCL1,7
Blank-65,63
MMP9,86
CTSG,59
Blank-77,90
Blank-25,21
Blank-75,39
Blank-52,62
Blank-66,25
CD28,85
FCGR3B,51
TNFRSF13C,77
SFRP2,1454
CCNE1,13
Blank-33,49
FCER1A,28
IL12A,103
KLRC1,72
CCNB1,108
KIR3DL1,26
IL10,83
Blank-17,19
CD70,43
TCL1A,38
CSF2,7
Blank-27,45
DKK1,41
DLL3,18
MPO,67
FABP2,21
CD68,44
SMOC2,107
IL1R2,55
IL12B,36
Blank-55,7
KRT20,90
SOX11,13
Blank-73,20
VTCN1,51
DTX1,122
Blank-56,15
Blank-82,7
Blank-32,14
CCL7,15
NOS2,15
IKZF4,14
Blank-45,11
